Country, Population, Area
Algeria, 43.851.044, 2.381.740, 18
Finland, 5.540.720, 303.890, 18
New Zealand, 4.822.233, 263.310, 18
Paraguay, 7.132.538, 397.300, 18
South Sudan, 11.193.725, 610.952, 18
Argentina, 45.195.774, 2.736.690, 17
Belize, 397.628, 22.810, 17
Mali, 20.250.833, 1.220.190, 17
Congo (Congo-Brazzaville), 5.518.087, 341.500, 16
Oman, 5.106.626, 309.500, 16
Saudi Arabia, 34.813.871, 2.149.690, 16
Norway, 5.421.241, 365.268, 15
Chad, 16.425.864, 1.259.200, 13
Turkmenistan, 6.031.200, 469.930, 13
Bolivia, 11.673.021, 1.083.300, 11
Russia, 145.934.462, 17.098.246, 9
Central African Republic, 4.829.767, 622.980, 8
Botswana, 2.351.627, 566.730, 4
Canada, 37.742.154, 9.093.510, 4
Australia, 25.499.884, 7.682.300, 3
